0 1.4500000000000000e+01 1.5000000000000000e+01 1.4500000000000000e+01 9.3103448275862064e+01 
1 1.4750000000000000e+01 1.5000000000000000e+01 1.4750000000000000e+01 1.6949152542372836e+00 
2 1.4750000000000000e+01 1.4875000000000000e+01 1.4875000000000000e+01 8.4033613445377853e-01 
3 1.4750000000000000e+01 1.4812500000000000e+01 1.4812500000000000e+01 4.2194092827003704e-01 
4 1.4781250000000000e+01 1.4812500000000000e+01 1.4781250000000000e+01 2.1141649048626032e-01 
5 1.4796875000000000e+01 1.4812500000000000e+01 1.4796875000000000e+01 1.0559662090813271e-01 
6 1.4796875000000000e+01 1.4804687500000000e+01 1.4804687500000000e+01 5.2770448548811189e-02 
7 1.4800781250000000e+01 1.4804687500000000e+01 1.4800781250000000e+01 2.6392187912382958e-02 
8 1.4800781250000000e+01 1.4802734375000000e+01 1.4802734375000000e+01 1.3194352816991994e-02 
9 1.4800781250000000e+01 1.4801757812500000e+01 1.4801757812500000e+01 6.5976116645716232e-03 
10 1.4800781250000000e+01 1.4801269531250000e+01 1.4801269531250000e+01 3.2989146570683303e-03 
11 1.4801025390625000e+01 1.4801269531250000e+01 1.4801025390625000e+01 1.6494845360925936e-03 
12 1.4801025390625000e+01 1.4801147460937500e+01 1.4801147460937500e+01 8.2473546609840298e-04 
13 1.4801086425781250e+01 1.4801147460937500e+01 1.4801086425781250e+01 4.1236943353339939e-04 
14 1.4801116943359375e+01 1.4801147460937500e+01 1.4801116943359375e+01 2.0618429164009910e-04 
15 1.4801132202148438e+01 1.4801147460937500e+01 1.4801132202148438e+01 1.0309203953839940e-04 
16 1.4801132202148438e+01 1.4801139831542969e+01 1.4801139831542969e+01 5.1545993196011608e-05 
17 1.4801132202148438e+01 1.4801136016845703e+01 1.4801136016845703e+01 2.5773003242690606e-05 
18 1.4801134109497070e+01 1.4801136016845703e+01 1.4801134109497070e+01 1.2886503286679840e-05 
19 1.4801135063171387e+01 1.4801136016845703e+01 1.4801135063171387e+01 6.4432512214551707e-06 
20 1.4801135540008545e+01 1.4801136016845703e+01 1.4801135540008545e+01 3.2216255108075131e-06 
21 1.4801135778427124e+01 1.4801136016845703e+01 1.4801135778427124e+01 1.6108127276481810e-06 
22 1.4801135897636414e+01 1.4801136016845703e+01 1.4801135897636414e+01 8.0540635272186023e-07 
23 1.4801135897636414e+01 1.4801135957241058e+01 1.4801135957241058e+01 4.0270318191204524e-07 
24 1.4801135927438736e+01 1.4801135957241058e+01 1.4801135927438736e+01 2.0135157985379237e-07 
25 1.4801135942339897e+01 1.4801135957241058e+01 1.4801135942339897e+01 1.0067578992689619e-07 
26 1.4801135942339897e+01 1.4801135949790478e+01 1.4801135949790478e+01 5.0337900514563216e-08 
27 1.4801135942339897e+01 1.4801135946065187e+01 1.4801135946065187e+01 2.5168955808396731e-08 
28 1.4801135944202542e+01 1.4801135946065187e+01 1.4801135944202542e+01 1.2584466801968119e-08 
